EMPRESA_SIGLA;EMPRESA_NOME;EMPRESA_NACIONALIDADE;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_ORIGEM_PAIS;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;AEROPORTO_DE_DESTINO_PAIS;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;ASK;RPK;COMBUSTIVEL_LITROS;DISTANCIA_VOADA_KM;DECOLAGENS;ASSENTOS;HORAS_VOADAS;TAXA_OCUPACAO_RPK_ASK;COMBUSTIVEL_POR_PASSAGEIRO_L;COMBUSTIVEL_POR_KM_L_KM;PASSAGEIROS_POR_DECOLAGEM
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;EDDF;FRANKFURT AM MAIN;;;ALEMANHA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;NÃO REGULAR;301.0;7426884.0;2949198.0;236877.0;19596.0;2.0;758.0;24.04;0.3970976253298153;786.9667774086379;12.088028169014084;150.5
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;EDDF;FRANKFURT AM MAIN;;;ALEMANHA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;REGULAR;8851.0;107689818.0;86722098.0;3437804.0;284142.0;29.0;10991.0;350.34;0.8052952415612774;388.40854140775053;12.0988942148644;305.2068965517241
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;EDHI;HAMBURG;;;ALEMANHA;GVAC;ILHA DO SAL;;;CABO VERDE;INTERNACIONAL;IMPRODUTIVO;0.0;0.0;0.0;17407.0;4977.0;1.0;0.0;6.9;;;3.4974884468555354;0.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;EGLL;LONDON, ENGLAND;;;REINO UNIDO;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;REGULAR;9708.0;111157289.0;91847388.0;3169899.0;293291.0;31.0;11749.0;363.72;0.8262830879223764;326.524412855377;10.808033659403119;313.16129032258067
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;FAOR;JOHANNESBURG;;;ÁFRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;REGULAR;3716.0;37817520.0;27647040.0;1432289.0;171120.0;23.0;5083.0;245.45;0.73106433208735;385.43837459634017;8.370085320243104;161.56521739130434
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;GVAC;ILHA DO SAL;;;CABO VERDE;SBCF;CONFINS;MG;SUDESTE;BRASIL;INTERNACIONAL;IMPRODUTIVO;0.0;0.0;0.0;17407.0;4650.0;1.0;0.0;6.73;;;3.743440860215054;0.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;KBOS;BOSTON, MASSACHUSETTS;;;ESTADOS UNIDOS DA AMÉRICA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;NÃO REGULAR;155.0;1710098.0;1199390.0;58743.0;7738.0;1.0;221.0;10.15;0.7013574660633484;378.98709677419356;7.5914965107262855;155.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;KBOS;BOSTON, MASSACHUSETTS;;;ESTADOS UNIDOS DA AMÉRICA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;REGULAR;2948.0;29071666.0;22811624.0;990440.0;131546.0;17.0;3757.0;173.45;0.7846686185786532;335.97014925373134;7.529229319021483;173.41176470588235
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;NÃO REGULAR;231.0;2598096.0;1770384.0;68948.0;7664.0;1.0;339.0;9.02;0.6814159292035398;298.4761904761905;8.99634655532359;231.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;REGULAR;8879.0;77942880.0;68048656.0;2070022.0;229920.0;30.0;10170.0;282.9;0.8730580137659784;233.1368397342043;9.003227209464162;295.96666666666664
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;KLAS;LAS VEGAS, NEVADA;;;ESTADOS UNIDOS DA AMÉRICA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;INTERNACIONAL;REGULAR;2143.0;28103686.0;20962826.0;927209.0;127166.0;13.0;2873.0;158.96;0.7459101983988862;432.66868875408306;7.291327870657251;164.84615384615384
